Track_uri,Album_name,Track_name,Track_genres,Artist_name,Track_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
spotify:track:6zyozkRLgDlqZIUJzCwkgP,"Dil Na Jaaneya (From ""Good Newwz"")",Dil Na Jaaneya,"dance pop,electropop,pop",Lauv,63,0.791,0.348,10,-9.457,0.0434,0.594,1.45e-06,0.097,0.49,131.972,231136
spotify:track:6VBhH7CyP56BXjp8VsDFPZ,"Kesariya (From ""Brahmastra"")","Kesariya (From ""Brahmastra"")","desi pop,filmi,modern bollywood",Arijit Singh,87,0.577,0.574,0,-6.525,0.0278,0.572,0.0,0.1,0.436,94.009,268165
spotify:track:7I6mwEFQwpTu5ciVZWFpd4,"Aashiqui Aa Gayi (From ""Radhe Shyam"")","Aashiqui Aa Gayi(From ""Radhe Shyam"")","desi pop,filmi,modern bollywood",Arijit Singh,66,0.527,0.495,10,-7.783,0.0353,0.587,0.0,0.127,0.474,122.826,260133
spotify:track:678JJ0TF3KFkzw6bIFKcew,YRF Top 10 - Midnight Hour,"Haareya (From ""Meri Pyaari Bindu "")","desi pop,filmi,modern bollywood",Arijit Singh,53,0.675,0.392,4,-10.11,0.037,0.773,0.0,0.109,0.533,123.923,214736
spotify:track:6XZWokIxs4leaSmXmU8b26,"Hum Nashe Mein Toh Nahin (From ""Bhool Bhulaiyaa 2"")","Hum Nashe Mein Toh Nahin (From ""Bhool Bhulaiyaa 2"")","desi pop,filmi,modern bollywood",Arijit Singh,73,0.572,0.736,11,-7.768,0.0658,0.643,0.0,0.128,0.778,85.035,238252
spotify:track:7sVEoPc5ZUUQerRkgTypUZ,"Srivalli (From ""Pushpa The Rise Part - 01"")","Srivalli (From ""Pushpa The Rise Part - 01"")","filmi,tollywood",Devi Sri Prasad,72,0.787,0.603,9,-4.781,0.034,0.435,0.0,0.101,0.743,106.984,224072
spotify:track:0DXfJ2iKRDEG7rPgssWFea,"Rangisari (From ""Jugjugg Jeeyo"")","Rangisari (From ""Jugjugg Jeeyo"")","desi pop,filmi,hindi indie,modern bollywood,sufi",Kavita Seth,74,0.524,0.758,10,-9.28,0.0538,0.27,0.13,0.106,0.319,140.012,223271
spotify:track:5urYiIXu1ZhfMAOsp7WDTc,"Dil Ko Karaar Aaya (From ""Sukoon"")","Dil Ko Karaar Aaya (From ""Sukoon"")","desi pop,filmi,modern bollywood",Neha Kakkar,75,0.55,0.448,11,-9.117,0.0366,0.777,0.000459,0.111,0.388,147.986,231487
spotify:track:3gOXq3FPPesm7VLPKmef6j,Atrangi Re,Rait Zara Si,"desi pop,filmi,modern bollywood",Arijit Singh,67,0.563,0.495,2,-10.272,0.0362,0.781,0.0,0.0837,0.244,125.998,291462
spotify:track:0tgwvpBXcw7GURJRqBnc4g,Best Of Arijit Singh - Revisited,"Girl I Need You (From ""Baaghi"")","desi pop,filmi,modern bollywood",Arijit Singh,61,0.647,0.537,0,-7.486,0.0258,0.368,0.0,0.213,0.185,131.927,297752
